	language	country	zipcode
50	en	United States	[SimpleZipcode(zipcode='21201', zipcode_type='Standard', major_city='Baltimore', post_office_city='Baltimore, MD', common_city_list=['Baltimore'], county='Baltimore city', state='MD', lat=39.29, lng=-76.62, timezone='Eastern', radius_in_miles=1.0, area_code_list=['410', '443', '667', '301'], population=16972, population_density=13158.0, land_area_in_sqmi=1.29, water_area_in_sqmi=0.0, housing_units=11255, occupied_housing_units=9765, median_home_value=208500, median_household_income=27465, bounds_west=-76.634132, bounds_east=-76.613775, bounds_north=39.31214, bounds_south=39.278926)]
51	en	Canada	[]
52	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
53	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
54	en	Vietnam	[]
55	en	Canada	[]
56	en	United States	[SimpleZipcode(zipcode='08022', zipcode_type='Standard', major_city='Columbus', post_office_city='Columbus, NJ', common_city_list=['Columbus'], county='Burlington County', state='NJ', lat=40.08, lng=-74.7, timezone='Eastern', radius_in_miles=5.0, area_code_list=[], population=8783, population_density=399.0, land_area_in_sqmi=21.99, water_area_in_sqmi=0.08, housing_units=3572, occupied_housing_units=3432, median_home_value=312200, median_household_income=87353, bounds_west=-74.757958, bounds_east=-74.638826, bounds_north=40.117971, bounds_south=39.998922)]
57	und	United States	[SimpleZipcode(zipcode='75052', zipcode_type='Standard', major_city='Grand Prairie', post_office_city='Grand Prairie, TX', common_city_list=['Grand Prairie'], county='Dallas County', state='TX', lat=32.65, lng=-97.02, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=88996, population_density=3402.0, land_area_in_sqmi=26.16, water_area_in_sqmi=1.91, housing_units=29926, occupied_housing_units=28598, median_home_value=134300, median_household_income=66744, bounds_west=-97.078174, bounds_east=-96.966132, bounds_north=32.711182, bounds_south=32.584609)]
58	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
59	in	Singapur	[]
