"","state_abbreviation","county","winner","Vote","votes","income","hispanic","white","college","density"
"37","IA","Greene","Donald Trump",0.3,164,45865,2.9,94.8,17.4,16.4
"38","IA","Grundy","Ted Cruz",0.288,272,56827,1.2,97.1,20.7,24.8
"39","IA","Guthrie","Ted Cruz",0.289,218,50609,2.3,95.8,17.1,18.5
"40","IA","Hamilton","Ted Cruz",0.289,277,43589,5.4,90.6,18,27.2
"41","IA","Hancock","Ted Cruz",0.453,385,50105,3.5,94.1,16.6,19.9
"42","IA","Hardin","Ted Cruz",0.328,417,49342,4.1,92.6,19.7,30.8
"43","IA","Harrison","Donald Trump",0.309,315,54583,1.4,96.7,17.7,21.4
"44","IA","Henry","Ted Cruz",0.313,379,46376,4.7,88.2,20,46.4
"45","IA","Howard","Donald Trump",0.305,112,46429,1.4,96.5,11.6,20.2
"46","IA","Humboldt","Donald Trump",0.337,204,47897,4,94.1,18.2,22.6
"47","IA","Ida","Donald Trump",0.258,136,43449,2,95.8,19.6,16.4
"48","IA","Iowa","Ted Cruz",0.342,353,58008,2.5,95.7,21,27.9
"49","IA","Jackson","Donald Trump",0.329,306,46467,1.3,95.8,14.5,31.2
"50","IA","Jasper","Ted Cruz",0.349,812,50513,1.9,94.3,17.8,50.4
"51","IA","Jefferson","Ted Cruz",0.317,270,48814,2.9,83.1,31.2,38.7
"52","IA","Johnson","Marco Rubio",0.305,2207,53424,5.5,80.6,51.1,213.1
"53","IA","Jones","Ted Cruz",0.351,363,55041,1.6,94.7,17.2,35.9
"54","IA","Keokuk","Donald Trump",0.313,220,42167,1.6,96.8,13.4,18.1
"55","IA","Kossuth","Ted Cruz",0.301,285,51812,2,96.1,18.3,16
"56","IA","Lee","Donald Trump",0.31,409,42469,3.4,91,15.8,69.3
"57","IA","Linn","Ted Cruz",0.294,3422,57260,2.9,88.1,31.2,294.6
"58","IA","Louisa","Donald Trump",0.36,261,50583,16.2,79.8,13.5,28.3
"59","IA","Lucas","Ted Cruz",0.362,213,43288,1.3,97.3,11.3,20.7
"60","IA","Lyon","Ted Cruz",0.39,432,52152,2.7,95.9,17.6,19.7
"61","IA","Madison","Ted Cruz",0.335,452,57581,1.5,96.4,21.5,27.9
"62","IA","Mahaska","Ted Cruz",0.341,669,47967,1.9,94.3,21.5,39.2
"63","IA","Marion","Ted Cruz",0.352,1011,54723,1.9,94.7,25,60.1
"64","IA","Marshall","Ted Cruz",0.271,630,51555,19.9,73.9,19.3,71
"65","IA","Mills","Donald Trump",0.268,300,63076,2.6,94.5,24,34.4
"66","IA","Mitchell","Donald Trump",0.255,120,51078,1.2,97.2,15.7,23
"67","IA","Monona","Ted Cruz",0.361,185,42025,2,95.2,14.3,13.3
"68","IA","Monroe","Ted Cruz",0.36,195,45997,2.4,95.2,19.3,18.4
"69","IA","Montgomery","Ted Cruz",0.233,133,44281,3.5,94.5,15.1,25.3
"70","IA","Muscatine","Donald Trump",0.298,720,51425,17.2,78.5,16.2,97.7
"71","IA","O'Brien","Ted Cruz",0.285,347,48185,4.5,93.3,18.9,25.1
"72","IA","Osceola","Ted Cruz",0.346,113,48659,6.8,91.3,15.6,16.2
"73","IA","Page","Ted Cruz",0.285,249,43010,2.9,91.7,17.4,29.8
"74","IA","Palo Alto","Donald Trump",0.271,117,44663,2.1,95.2,16.5,16.7
"75","IA","Plymouth","Donald Trump",0.328,618,58888,4.1,93.6,20.9,29
"76","IA","Pocahontas","Ted Cruz",0.387,187,44073,3.4,94,17.8,12.7
"77","IA","Polk","Marco Rubio",0.269,8365,59018,8,79.2,34.9,750.5
"78","IA","Pottawattamie","Donald Trump",0.345,1508,51304,7.2,88.7,19.1,98
"79","IA","Poweshiek","Ted Cruz",0.287,282,50349,3,92.2,24.1,32.3
"80","IA","Ringgold","Donald Trump",0.319,106,44551,2,96.4,17.6,9.6
"81","IA","Sac","Donald Trump",0.317,212,48093,2.8,95.7,19.1,18
"82","IA","Scott","Marco Rubio",0.262,2553,52735,6.3,81.3,31.6,360.7
"83","IA","Shelby","Ted Cruz",0.278,207,48783,2.3,95.6,18.2,20.6
"84","IA","Sioux","Ted Cruz",0.332,1524,57227,9.8,87.9,23.4,43.9
"85","IA","Story","Marco Rubio",0.321,2415,50516,3.1,85.5,47.7,156.3
