state;state_abbreviation;fips;county;financial_inequality;median_age;republican_vote_proportion;democrats_vote_proportion
Louisiana;LA;22115;Vernon Parish, Louisiana;0,404;29,8;0,8099;0,1602
Michigan;MI;26025;Calhoun County, Michigan;0,434;38,4;0,5357;0,4109
Michigan;MI;26133;Osceola County, Michigan;0,394;41,2;0,6923;0,2553
Michigan;MI;26139;Ottawa County, Michigan;0,414;34;0,6221;0,3183
Michigan;MI;26143;Roscommon County, Michigan;0,428;51,8;0,6245;0,3289
Minnesota;MN;27061;Itasca County, Minnesota;0,407;44,5;0,5463;0,3812
Minnesota;MN;27071;Koochiching County, Minnesota;0,448;46;0,5653;0,3653
Minnesota;MN;27131;Rice County, Minnesota;0,384;34,3;0,4789;0,4481
Missouri;MO;29071;Franklin County, Missouri;0,408;38,5;0,7078;0,2466
Missouri;MO;29169;Pulaski County, Missouri;0,386;26,6;0,7342;0,2171
Missouri;MO;29215;Texas County, Missouri;0,443;42,2;0,8116;0,158
Mississippi;MS;28023;Clarke County, Mississippi;0,447;39,3;0,6597;0,3314
Mississippi;MS;28099;Neshoba County, Mississippi;0,456;35,3;0,7294;0,2556
Mississippi;MS;28163;Yazoo County, Mississippi;0,487;34,8;0,4618;0,5278
Montana;MT;30017;Custer County, Montana;0,417;41,8;0,705;0,2271
Montana;MT;30099;Teton County, Montana;0,432;45,3;0,6821;0,2545
North Carolina;NC;37115;Madison County, North Carolina;0,424;43,2;0,6142;0,3556
North Dakota;ND;38101;Ward County, North Dakota;0,417;33,3;0,6925;0,2156
Nebraska;NE;31039;Cuming County, Nebraska;0,426;43,4;0,7761;0,1785
New Mexico;NM;35005;Chaves County, New Mexico;0,436;35,2;0,6352;0,2729
New Mexico;NM;35027;Lincoln County, New Mexico;0,419;48,4;0,6623;0,2619
New Mexico;NM;35059;Union County, New Mexico;0,4;42,3;0,7154;0,1874
New York;NY;36023;Cortland County, New York;0,423;35,8;0,4997;0,4329
Ohio;OH;39027;Clinton County, Ohio;0,414;37,7;0,744;0,2178
Ohio;OH;39061;Hamilton County, Ohio;0,493;36,9;0,4303;0,5255
Ohio;OH;39119;Muskingum County, Ohio;0,436;39,2;0,6513;0,3017
Oklahoma;OK;40023;Choctaw County, Oklahoma;0,47;40,5;0,7754;0,1963
Oklahoma;OK;40069;Johnston County, Oklahoma;0,48;38,8;0,7701;0,1955
Oklahoma;OK;40119;Payne County, Oklahoma;0,485;27;0,5998;0,3166
Oklahoma;OK;40131;Rogers County, Oklahoma;0,393;37,9;0,7566;0,1933
Pennsylvania;PA;42003;Allegheny County, Pennsylvania;0,483;41,1;0,4003;0,5644
Pennsylvania;PA;42011;Berks County, Pennsylvania;0,421;38,9;0,5291;0,4273
Pennsylvania;PA;42033;Clearfield County, Pennsylvania;0,422;42;0,7313;0,2355
Pennsylvania;PA;42043;Dauphin County, Pennsylvania;0,427;39,1;0,4657;0,4939
Pennsylvania;PA;42051;Fayette County, Pennsylvania;0,434;42,9;0,6437;0,3337
Pennsylvania;PA;42111;Somerset County, Pennsylvania;0,419;43,7;0,7654;0,2062
Rhode Island;RI;44005;Newport County, Rhode Island;0,45;42,9;0,3761;0,5697
Rhode Island;RI;44009;Washington County, Rhode Island;0,437;41,1;0,4214;0,5216
Tennessee;TN;47079;Henry County, Tennessee;0,439;43,4;0,7359;0,2375
Tennessee;TN;47093;Knox County, Tennessee;0,475;37,1;0,5898;0,3507
Tennessee;TN;47103;Lincoln County, Tennessee;0,448;40,7;0,7818;0,1922
Tennessee;TN;47121;Meigs County, Tennessee;0,445;40,9;0,7741;0,1986
Tennessee;TN;47127;Moore County, Tennessee;0,49;42,8;0,7946;0,1695
Tennessee;TN;47181;Wayne County, Tennessee;0,408;40,5;0,8617;0,1227
Texas;TX;48021;Bastrop County, Texas;0,407;37,6;0,5775;0,3736
Texas;TX;48027;Bell County, Texas;0,424;29,5;0,5509;0,4001
Texas;TX;48087;Collingsworth County, Texas;0,496;36,3;0,8518;0,1256
Texas;TX;48117;Deaf Smith County, Texas;0,39;30,8;0,6929;0,2821
Texas;TX;48145;Falls County, Texas;0,433;38,9;0,6571;0,3215
Texas;TX;48203;Harrison County, Texas;0,45;37,6;0,7098;0,2704
Texas;TX;48211;Hemphill County, Texas;0,429;41,8;0,8654;0,1073
Texas;TX;48289;Leon County, Texas;0,454;45,1;0,8628;0,1227
Texas;TX;48331;Milam County, Texas;0,462;39,8;0,7366;0,2372
Texas;TX;48371;Pecos County, Texas;0,47;36;0,5911;0,3722
Texas;TX;48377;Presidio County, Texas;0,473;38,1;0,296;0,6618
Texas;TX;48455;Trinity County, Texas;0,432;46,1;0,7919;0,1929
Virginia;VA;51011;Appomattox County, Virginia;0,39;43,3;0,7184;0,2543
Virginia;VA;51155;Pulaski County, Virginia;0,403;43,1;0,6825;0,2759
Virginia;VA;51640;Galax city, Virginia;0,532;45,9;0,6784;0,2878
Georgia;GA;13305;Wayne County, Georgia;0,445;37,6;0,7852;0,1965
Iowa;IA;19189;Winnebago County, Iowa;0,405;43,5;0,6012;0,3358
Idaho;ID;16027;Canyon County, Idaho;0,401;31;0,6493;0,2317
Illinois;IL;17041;Douglas County, Illinois;0,381;37,6;0,704;0,2406
Illinois;IL;17043;DuPage County, Illinois;0,442;37,4;0,398;0,5388
Illinois;IL;17067;Hancock County, Illinois;0,419;44;0,7307;0,2231
Illinois;IL;17151;Pope County, Illinois;0,362;46,5;0,7871;0,1754
Illinois;IL;17157;Randolph County, Illinois;0,386;40,6;0,7121;0,2438
Illinois;IL;17181;Union County, Illinois;0,437;43;0,6789;0,2806
Illinois;IL;17187;Warren County, Illinois;0,4;39,9;0,5542;0,3874
Indiana;IN;18043;Floyd County, Indiana;0,415;38,6;0,5756;0,3745
Indiana;IN;18071;Jackson County, Indiana;0,393;37,9;0,7333;0,2192
Indiana;IN;18091;LaPorte County, Indiana;0,418;39,2;0,504;0,4399
Indiana;IN;18115;Ohio County, Indiana;0,398;41,8;0,7261;0,2352
Indiana;IN;18133;Putnam County, Indiana;0,381;37,3;0,7246;0,2286
Indiana;IN;18165;Vermillion County, Indiana;0,444;41,2;0,6525;0,301
Kansas;KS;20155;Reno County, Kansas;0,429;40;0,644;0,2845
Kansas;KS;20187;Stanton County, Kansas;0,347;38;0,7817;0,1779
Kentucky;KY;21001;Adair County, Kentucky;0,462;38,5;0,8063;0,1607
Kentucky;KY;21051;Clay County, Kentucky;0,512;37,3;0,8664;0,1112
Alabama;AL;1105;Perry County, Alabama;0,47;35,2;0,267;0,7275
Arkansas;AR;5051;Garland County, Arkansas;0,47;44;0,6396;0,3015
Arkansas;AR;5107;Phillips County, Arkansas;0,469;36;0,3524;0,6192
Colorado;CO;8039;Elbert County, Colorado;0,374;42,8;0,7353;0,1948
Florida;FL;12027;DeSoto County, Florida;0,422;37;0,6267;0,3495
Florida;FL;12063;Jackson County, Florida;0,429;40,2;0,6778;0,304
Georgia;GA;13173;Lanier County, Georgia;0,448;33,4;0,6935;0,2814
Georgia;GA;13219;Oconee County, Georgia;0,44;38,9;0,6771;0,276
Georgia;GA;13263;Talbot County, Georgia;0,464;43,1;0,3688;0,617
Wisconsin;WI;55131;Washington County, Wisconsin;0,385;40;0,6784;0,2735
West Virginia;WV;54083;Randolph County, West Virginia;0,451;42,9;0,7011;0,2518
Ohio;OH;39069;Henry County, Ohio;0,386;38,8;0,6683;0,2699
Ohio;OH;39103;Medina County, Ohio;0,392;39,8;0,6022;0,3534
Ohio;OH;39145;Scioto County, Ohio;0,451;38,6;0,6666;0,2985
Oklahoma;OK;40009;Beckham County, Oklahoma;0,434;34,9;0,835;0,1272
Oklahoma;OK;40031;Comanche County, Oklahoma;0,419;31,6;0,5893;0,3519
Oklahoma;OK;40071;Kay County, Oklahoma;0,444;39,5;0,7245;0,2223
Oklahoma;OK;40083;Logan County, Oklahoma;0,47;37,5;0,7184;0,2237
Oklahoma;OK;40093;Major County, Oklahoma;0,435;43,9;0,865;0,0912
Oklahoma;OK;40099;Murray County, Oklahoma;0,403;40;0,7553;0,1966
Oklahoma;OK;40147;Washington County, Oklahoma;0,469;41,2;0,7119;0,2273
Oregon;OR;41033;Josephine County, Oregon;0,453;46,4;0,6238;0,3103
Pennsylvania;PA;42075;Lebanon County, Pennsylvania;0,402;40,6;0,6587;0,3032
Pennsylvania;PA;42087;Mifflin County, Pennsylvania;0,404;41,7;0,7703;0,1954
Pennsylvania;PA;42105;Potter County, Pennsylvania;0,426;43,9;0,8033;0,1672
South Carolina;SC;45041;Florence County, South Carolina;0,465;37,2;0,5106;0,461
South Carolina;SC;45059;Laurens County, South Carolina;0,416;40,2;0,6335;0,3341
South Dakota;SD;46039;Deuel County, South Dakota;0,373;43,1;0,6567;0,274
South Dakota;SD;46049;Faulk County, South Dakota;0,479;44,5;0,7674;0,1825
South Dakota;SD;46117;Stanley County, South Dakota;0,422;41;0,7326;0,21
South Dakota;SD;46137;Ziebach County, South Dakota;0,485;25,7;0,4804;0,4595
Tennessee;TN;47005;Benton County, Tennessee;0,426;45,1;0,7458;0,2332
Tennessee;TN;47041;DeKalb County, Tennessee;0,466;39,7;0,7441;0,2256
Tennessee;TN;47045;Dyer County, Tennessee;0,455;39,1;0,7656;0,2118
Tennessee;TN;47129;Morgan County, Tennessee;0,438;39,6;0,8147;0,158
Tennessee;TN;47145;Roane County, Tennessee;0,44;44,2;0,7351;0,224
Tennessee;TN;47179;Washington County, Tennessee;0,477;38,9;0,6917;0,2632
Texas;TX;48035;Bosque County, Texas;0,421;44,4;0,8112;0,1638
Texas;TX;48153;Floyd County, Texas;0,417;35,7;0,7523;0,2222
Texas;TX;48173;Glasscock County, Texas;0,4;39,6;0,9186;0,0565
Texas;TX;48191;Hall County, Texas;0,543;42,8;0,8182;0,1506
Texas;TX;48223;Hopkins County, Texas;0,433;39,2;0,7943;0,1861
Texas;TX;48245;Jefferson County, Texas;0,468;36,2;0,4902;0,4854
Texas;TX;48399;Runnels County, Texas;0,441;43,1;0,8608;0,1201
Texas;TX;48405;San Augustine County, Texas;0,503;46,3;0,7353;0,2546
Texas;TX;48445;Terry County, Texas;0,547;35,5;0,7345;0,2405
Utah;UT;49025;Kane County, Utah;0,46;45,3;0,6456;0,2122
Utah;UT;49043;Summit County, Utah;0,458;36;0,3556;0,5092
Virginia;VA;51083;Halifax County, Virginia;0,473;43,9;0,5723;0,4066
Virginia;VA;51143;Pittsylvania County, Virginia;0,417;43,4;0,6861;0,2902
Virginia;VA;51149;Prince George County, Virginia;0,367;36,6;0,5673;0,3977
Virginia;VA;51191;Washington County, Virginia;0,465;43;0,7509;0,2157
Alabama;AL;1131;Wilcox County, Alabama;0,501;36,7;0,285;0,7103
Alabama;AL;1035;Conecuh County, Alabama;0,484;43,4;0,5216;0,4691
Alabama;AL;1111;Randolph County, Alabama;0,489;40;0,7598;0,2261
Alabama;AL;1067;Henry County, Alabama;0,446;42,4;0,7014;0,2851
Arkansas;AR;5027;Columbia County, Arkansas;0,483;36,9;0,6139;0,3533
Arizona;AZ;4001;Apache County, Arizona;0,488;31,5;0,2848;0,6536
California;CA;6053;Monterey County, California;0,45;32,8;0,2728;0,6696
California;CA;6079;San Luis Obispo County, California;0,456;39;0,4228;0,5057
California;CA;6039;Madera County, California;0,441;33,2;0,561;0,3877
California;CA;6113;Yolo County, California;0,456;30,1;0,2603;0,6807
Colorado;CO;8027;Custer County, Colorado;0,472;51,7;0,672;0,2601
Colorado;CO;8089;Otero County, Colorado;0,439;40,8;0,5931;0,3412
Colorado;CO;8025;Crowley County, Colorado;0,437;38,3;0,7075;0,2224
Florida;FL;12049;Hardee County, Florida;0,408;33,4;0,6913;0,2834
Florida;FL;12083;Marion County, Florida;0,443;46,7;0,6173;0,3551
Florida;FL;12085;Martin County, Florida;0,512;48,9;0,6203;0,3517
Florida;FL;12129;Wakulla County, Florida;0,382;39,2;0,6848;0,2834
Florida;FL;12133;Washington County, Florida;0,444;41,2;0,7744;0,2029
Georgia;GA;13083;Dade County, Georgia;0,427;38,7;0,8091;0,1547
Kentucky;KY;21079;Garrard County, Kentucky;0,438;41,2;0,7749;0,1907
Kentucky;KY;21093;Hardin County, Kentucky;0,41;35,3;0,6252;0,3232
Kentucky;KY;21129;Lee County, Kentucky;0,464;41,5;0,8065;0,1665
Louisiana;LA;22125;West Feliciana Parish, Louisiana;0,462;40,9;0,5847;0,3875
Massachusetts;MA;25027;Worcester County, Massachusetts;0,433;38,6;0,4125;0,5174
Maryland;MD;24041;Talbot County, Maryland;0,469;46,5;0,5391;0,4199
Maryland;MD;24043;Washington County, Maryland;0,427;39,1;0,6396;0,316
Maine;ME;23005;Cumberland County, Maine;0,45;40,3;0,3369;0,6011
Michigan;MI;26053;Gogebic County, Michigan;0,43;46,2;0,5496;0,4
Michigan;MI;26165;Wexford County, Michigan;0,424;39,9;0,6545;0,2903
Minnesota;MN;27003;Anoka County, Minnesota;0,371;36,4;0,5071;0,4101
Minnesota;MN;27043;Faribault County, Minnesota;0,417;45,3;0,6334;0,2927
Minnesota;MN;27049;Goodhue County, Minnesota;0,399;41,1;0,5498;0,3699
Minnesota;MN;27069;Kittson County, Minnesota;0,406;47,6;0,5709;0,3483
Minnesota;MN;27073;Lac qui Parle County, Minnesota;0,393;47,9;0,5982;0,3392
Minnesota;MN;27139;Scott County, Minnesota;0,371;34,4;0,537;0,3831
Missouri;MO;29065;Dent County, Missouri;0,392;42,6;0,8261;0,1443
Missouri;MO;29093;Iron County, Missouri;0,443;41,9;0,7448;0,219
Missouri;MO;29121;Macon County, Missouri;0,408;42;0,7645;0,2003
Missouri;MO;29129;Mercer County, Missouri;0,415;43,9;0,8545;0,1242
Mississippi;MS;28025;Clay County, Mississippi;0,491;37,5;0,4153;0,5718
Montana;MT;30005;Blaine County, Montana;0,424;35,3;0,476;0,4488
North Carolina;NC;37001;Alamance County, North Carolina;0,435;38;0,552;0,4226
North Carolina;NC;37067;Forsyth County, North Carolina;0,47;37,2;0,4336;0,5361
North Carolina;NC;37103;Jones County, North Carolina;0,411;42,8;0,5836;0,405
North Carolina;NC;37159;Rowan County, North Carolina;0,434;38,7;0,672;0,3045
North Carolina;NC;37169;Stokes County, North Carolina;0,4;41,4;0,7653;0,2094
North Dakota;ND;38003;Barnes County, North Dakota;0,458;44,5;0,6008;0,304
North Dakota;ND;38047;Logan County, North Dakota;0,433;50,8;0,8417;0,1087
Nebraska;NE;31011;Boone County, Nebraska;0,429;45;0,8019;0,1444
Nebraska;NE;31061;Franklin County, Nebraska;0,408;47,9;0,8122;0,151
Nebraska;NE;31089;Holt County, Nebraska;0,406;45,4;0,8586;0,1048
Nebraska;NE;31129;Nuckolls County, Nebraska;0,425;48,6;0,7938;0,1616
Nebraska;NE;31139;Pierce County, Nebraska;0,352;41,9;0,8525;0,1067
New Jersey;NJ;34009;Cape May County, New Jersey;0,454;46,4;0,5837;0,385
New Jersey;NJ;34035;Somerset County, New Jersey;0,445;39,7;0,4191;0,5435
New Mexico;NM;35035;Otero County, New Mexico;0,418;36,5;0,594;0,3048
New Mexico;NM;35041;Roosevelt County, New Mexico;0,437;29,9;0,6538;0,2444
New Mexico;NM;35051;Sierra County, New Mexico;0,467;53,6;0,5822;0,3107
New York;NY;36007;Broome County, New York;0,452;39,8;0,4903;0,4534
Mississippi;MS;28067;Jones County, Mississippi;0,466;37;0,7107;0,2743
Mississippi;MS;28161;Yalobusha County, Mississippi;0,465;39,9;0,5556;0,4249
Montana;MT;30049;Lewis and Clark County, Montana;0,4;40,7;0,493;0,424
Montana;MT;30069;Petroleum County, Montana;0,398;41,6;0,8625;0,0938
Montana;MT;30075;Powder River County, Montana;0,477;46;0,8405;0,1213
North Carolina;NC;37005;Alleghany County, North Carolina;0,476;45,4;0,7267;0,2493
North Carolina;NC;37045;Cleveland County, North Carolina;0,439;39,8;0,6433;0,3375
North Carolina;NC;37095;Hyde County, North Carolina;0,391;40,6;0,5609;0,4206
North Carolina;NC;37151;Randolph County, North Carolina;0,447;39,1;0,7727;0,2055
North Dakota;ND;38059;Morton County, North Dakota;0,398;40,5;0,7281;0,1979
Nebraska;NE;31103;Keya Paha County, Nebraska;0,417;53,9;0,8911;0,0759
Nebraska;NE;31149;Rock County, Nebraska;0,436;48,7;0,8663;0,0883
Nebraska;NE;31159;Seward County, Nebraska;0,419;37,8;0,703;0,2426
New Jersey;NJ;34001;Atlantic County, New Jersey;0,445;39,4;0,4528;0,5152
New Mexico;NM;35021;Harding County, New Mexico;0,408;41,3;0,5901;0,296
New Mexico;NM;35023;Hidalgo County, New Mexico;0,436;37,4;0,4863;0,4187
Nevada;NV;32013;Humboldt County, Nevada;0,401;36,6;0,7028;0,2155
West Virginia;WV;54023;Grant County, West Virginia;0,395;42,8;0,8772;0,1031
West Virginia;WV;54045;Logan County, West Virginia;0,444;41,7;0,8011;0,1691
West Virginia;WV;54061;Monongalia County, West Virginia;0,517;29,3;0,5115;0,4077
West Virginia;WV;54071;Pendleton County, West Virginia;0,414;47,1;0,7435;0,226
West Virginia;WV;54097;Upshur County, West Virginia;0,447;41,3;0,7594;0,192
Wyoming;WY;56015;Goshen County, Wyoming;0,417;43,6;0,774;0,1619
Alaska;AK;2016;Aleutians West Census Area, Alaska;0,381;42;0;0
Alabama;AL;1079;Lawrence County, Alabama;0,399;40,2;0,7339;0,2469
Arkansas;AR;5083;Logan County, Arkansas;0,427;41,3;0,7254;0,2165
Arkansas;AR;5023;Cleburne County, Arkansas;0,445;46;0,7826;0,1739
Arkansas;AR;5053;Grant County, Arkansas;0,377;39,2;0,747;0,2037
Arkansas;AR;5117;Prairie County, Arkansas;0,415;43,5;0,7276;0,236
California;CA;6073;San Diego County, California;0,452;34,5;0,3824;0,5607
Colorado;CO;8113;San Miguel County, Colorado;0,452;38,4;0,2389;0,6866
Colorado;CO;8011;Bent County, Colorado;0,412;40,2;0,6163;0,3071
Colorado;CO;8085;Montrose County, Colorado;0,417;41,9;0,6788;0,2581
Florida;FL;12081;Manatee County, Florida;0,459;45;0,5696;0,3981
Georgia;GA;13161;Jeff Davis County, Georgia;0,406;36,5;0,8061;0,177
Georgia;GA;13205;Mitchell County, Georgia;0,44;37,2;0,5437;0,4444
Georgia;GA;13271;Telfair County, Georgia;0,484;39,3;0,6455;0,3461
Georgia;GA;13289;Twiggs County, Georgia;0,489;41,2;0,5019;0,4861
Hawaii;HI;15009;Maui County, Hawaii;0,431;38,9;0,2588;0,6445
Iowa;IA;19097;Jackson County, Iowa;0,407;42,9;0,5705;0,376
Iowa;IA;19167;Sioux County, Iowa;0,383;32,7;0,8206;0,1272
Iowa;IA;19193;Woodbury County, Iowa;0,422;35,4;0,5736;0,375
Idaho;ID;16013;Blaine County, Idaho;0,431;39,5;0,3115;0,5983
Illinois;IL;17079;Jasper County, Illinois;0,372;42,6;0,7784;0,181
Illinois;IL;17119;Madison County, Illinois;0,427;38,2;0,5496;0,3936
Illinois;IL;17127;Massac County, Illinois;0,396;41,8;0,7303;0,2344
Indiana;IN;18161;Union County, Indiana;0,355;38,7;0,7441;0,2176
Indiana;IN;18181;White County, Indiana;0,381;41,9;0,688;0,2588
Kansas;KS;20175;Seward County, Kansas;0,412;29,1;0,6378;0,3144
Kansas;KS;20193;Thomas County, Kansas;0,428;37;0,8131;0,1341
Kentucky;KY;21021;Boyle County, Kentucky;0,479;39,2;0,6214;0,3309
Texas;TX;48491;Williamson County, Texas;0,37;34;0,5188;0,4202
Utah;UT;49049;Utah County, Utah;0,412;24,3;0,5131;0,1405
Virginia;VA;51013;Arlington County, Virginia;0,429;33,9;0,1689;0,7699
Virginia;VA;51059;Fairfax County, Virginia;0,414;37,3;0,2908;0,653
Virginia;VA;51077;Grayson County, Virginia;0,451;46;0,7706;0,1939
Virginia;VA;51167;Russell County, Virginia;0,428;42,4;0,7803;0,1909
Vermont;VT;50003;Bennington County, Vermont;0,457;44,3;0,3625;0,5836
Washington;WA;53027;Grays Harbor County, Washington;0,429;41,6;0,4963;0,4256
Washington;WA;53065;Stevens County, Washington;0,422;44;0,6728;0,2645
Ohio;OH;39081;Jefferson County, Ohio;0,437;43,8;0,6594;0,3025
Ohio;OH;39139;Richland County, Ohio;0,407;40,1;0,6663;0,2908
Ohio;OH;39149;Shelby County, Ohio;0,382;37,4;0,7853;0,1793
Oklahoma;OK;40097;Mayes County, Oklahoma;0,406;39,5;0,7351;0,2179
Oklahoma;OK;40141;Tillman County, Oklahoma;0,414;40,8;0,7184;0,2428
Oregon;OR;41021;Gilliam County, Oregon;0,381;49,9;0,6745;0,2359
Oregon;OR;41041;Lincoln County, Oregon;0,449;49;0,4119;0,5118
Pennsylvania;PA;42129;Westmoreland County, Pennsylvania;0,433;44,4;0,6406;0,3274
Rhode Island;RI;44003;Kent County, Rhode Island;0,419;41,9;0,4778;0,4708
South Carolina;SC;45025;Chesterfield County, South Carolina;0,447;38,7;0,5591;0,416
South Carolina;SC;45087;Union County, South Carolina;0,454;41,7;0,5839;0,3911
South Dakota;SD;46027;Clay County, South Dakota;0,479;25;0,4161;0,5145
South Dakota;SD;46041;Dewey County, South Dakota;0,491;28,8;0,4236;0,5196
South Dakota;SD;46057;Hamlin County, South Dakota;0,42;38;0,7426;0,2009
South Dakota;SD;46087;McCook County, South Dakota;0,482;42,8;0,6935;0,2408
Tennessee;TN;47123;Monroe County, Tennessee;0,435;40,2;0,7836;0,1867
Tennessee;TN;47183;Weakley County, Tennessee;0,485;37,4;0,7422;0,2284
Texas;TX;48043;Brewster County, Texas;0,49;40,3;0,4905;0,4423
Texas;TX;48049;Brown County, Texas;0,476;39;0,861;0,1162
Texas;TX;48133;Eastland County, Texas;0,451;41;0,8663;0,1119
Texas;TX;48175;Goliad County, Texas;0,456;44,5;0,7051;0,2621
Texas;TX;48259;Kendall County, Texas;0,477;43,3;0,7857;0,1822
Texas;TX;48261;Kenedy County, Texas;0,417;51,2;0,4516;0,5323
Texas;TX;48277;Lamar County, Texas;0,448;39,6;0,7847;0,1931
Texas;TX;48313;Madison County, Texas;0,454;34,1;0,7819;0,2057
Texas;TX;48363;Palo Pinto County, Texas;0,456;40,1;0,8081;0,1671
Texas;TX;48365;Panola County, Texas;0,444;39,7;0,811;0,1762
Texas;TX;48381;Randall County, Texas;0,439;35,4;0,8061;0,155
Texas;TX;48473;Waller County, Texas;0,447;32,3;0,6297;0,3436
Texas;TX;48475;Ward County, Texas;0,431;36,5;0,7445;0,2285
Kentucky;KY;21087;Green County, Kentucky;0,5;43,1;0,8198;0,156
Kentucky;KY;21137;Lincoln County, Kentucky;0,438;39;0,7675;0,1951
Kentucky;KY;21153;Magoffin County, Kentucky;0,502;38,6;0,7475;0,2291
Kentucky;KY;21155;Marion County, Kentucky;0,442;37,8;0,6316;0,3304
Kentucky;KY;21175;Morgan County, Kentucky;0,542;38,7;0,7606;0,2109
Kentucky;KY;21229;Washington County, Kentucky;0,417;39,4;0,7128;0,2522
Louisiana;LA;22007;Assumption Parish, Louisiana;0,419;38,4;0,6157;0,3605
Massachusetts;MA;25015;Hampshire County, Massachusetts;0,435;36,1;0,2683;0,6629
Maryland;MD;24023;Garrett County, Maryland;0,433;41,9;0,7895;0,1745
Maine;ME;23009;Hancock County, Maine;0,437;45,2;0,4278;0,5036
Alabama;AL;1093;Marion County, Alabama;0,449;42;0,8731;0,1109
Alabama;AL;1099;Monroe County, Alabama;0,483;39,7;0,5666;0,4232
Arkansas;AR;5005;Baxter County, Arkansas;0,42;50,1;0,7428;0,211
Arkansas;AR;5145;White County, Arkansas;0,455;36,1;0,7528;0,1845
Arkansas;AR;5147;Woodruff County, Arkansas;0,51;42,9;0,5238;0,4353
Arkansas;AR;5025;Cleveland County, Arkansas;0,445;39,1;0,7339;0,2157
California;CA;6011;Colusa County, California;0,429;34;0,5385;0,4032
California;CA;6087;Santa Cruz County, California;0,467;36,6;0,1776;0,7505
California;CA;6093;Siskiyou County, California;0,448;46,5;0,5652;0,3582
California;CA;6017;El Dorado County, California;0,421;42,6;0,5338;0,395
California;CA;6041;Marin County, California;0,498;44;0,1595;0,7882
California;CA;6099;Stanislaus County, California;0,441;32,5;0,4673;0,4735
California;CA;6105;Trinity County, California;0,409;48,5;0,5108;0,3978
Colorado;CO;8001;Adams County, Colorado;0,403;32,2;0,4215;0,4938
Florida;FL;12039;Gadsden County, Florida;0,459;38,2;0,3044;0,6791
Georgia;GA;13061;Clay County, Georgia;0,422;42,3;0,4453;0,5484
Georgia;GA;13071;Colquitt County, Georgia;0,458;34,5;0,7278;0,2546
Georgia;GA;13175;Laurens County, Georgia;0,468;37,8;0,6376;0,3464
Georgia;GA;13225;Peach County, Georgia;0,456;34,3;0,5052;0,4751
Georgia;GA;13281;Towns County, Georgia;0,405;49,3;0,7994;0,1793
Ohio;OH;39067;Harrison County, Ohio;0,439;43,5;0,7218;0,2391
Ohio;OH;39071;Highland County, Ohio;0,409;38,3;0,7628;0,2015
Ohio;OH;39111;Monroe County, Ohio;0,405;44,4;0,7151;0,2463
Oklahoma;OK;40117;Pawnee County, Oklahoma;0,421;42;0,7431;0,2113
Oklahoma;OK;40143;Tulsa County, Oklahoma;0,478;35,3;0,584;0,3555
Oklahoma;OK;40151;Woods County, Oklahoma;0,447;38,1;0,8035;0,1422
Pennsylvania;PA;42013;Blair County, Pennsylvania;0,443;41,7;0,7154;0,2516
South Carolina;SC;45009;Bamberg County, South Carolina;0,482;38;0,3546;0,6273
South Dakota;SD;46047;Fall River County, South Dakota;0,458;50,1;0,7047;0,2304
Tennessee;TN;47065;Hamilton County, Tennessee;0,48;39,1;0,5575;0,3917
Tennessee;TN;47113;Madison County, Tennessee;0,496;36,6;0,5646;0,4088
Tennessee;TN;47137;Pickett County, Tennessee;0,497;42,3;0,7739;0,2054
Texas;TX;48143;Erath County, Texas;0,466;31,7;0,8114;0,1563
Texas;TX;48161;Freestone County, Texas;0,484;41,1;0,788;0,192
Texas;TX;48187;Guadalupe County, Texas;0,395;36,3;0,6378;0,32
Texas;TX;48221;Hood County, Texas;0,446;45,5;0,818;0,1532
Texas;TX;48249;Jim Wells County, Texas;0,452;33,9;0,4383;0,5417
Texas;TX;48283;La Salle County, Texas;0,464;32;0,4246;0,549
Texas;TX;48417;Shackelford County, Texas;0,423;41;0,9174;0,0686
Texas;TX;48459;Upshur County, Texas;0,43;40,4;0,8291;0,1494
Texas;TX;48469;Victoria County, Texas;0,447;36,4;0,6849;0,285
Texas;TX;48503;Young County, Texas;0,512;41,8;0,8601;0,114
Utah;UT;49039;Sanpete County, Utah;0,402;28,3;0,6582;0,1049
Virginia;VA;51079;Greene County, Virginia;0,388;38,7;0,6254;0,3076
Virginia;VA;51105;Lee County, Virginia;0,426;40,7;0,8064;0,174
Virginia;VA;51685;Manassas Park city, Virginia;0,339;30,6;0,3322;0,6172
Vermont;VT;50015;Lamoille County, Vermont;0,433;39,2;0,3067;0,622
Vermont;VT;50023;Washington County, Vermont;0,418;41,4;0,2789;0,6489
Vermont;VT;50027;Windsor County, Vermont;0,445;44,8;0,3091;0,6304
Washington;WA;53023;Garfield County, Washington;0,407;49,7;0,6826;0,224
Washington;WA;53059;Skamania County, Washington;0,413;43,1;0,5209;0,395
Wisconsin;WI;55051;Iron County, Wisconsin;0,408;49,9;0,6011;0,3661
Iowa;IA;19001;Adair County, Iowa;0,408;44,8;0,6534;0,2998
Iowa;IA;19021;Buena Vista County, Iowa;0,414;36,9;0,5985;0,3486
Iowa;IA;19117;Lucas County, Iowa;0,407;42,9;0,6686;0,2876
Iowa;IA;19123;Mahaska County, Iowa;0,403;39;0,7055;0,2483
Idaho;ID;16017;Bonner County, Idaho;0,439;44,8;0,6078;0,3057
Idaho;ID;16035;Clearwater County, Idaho;0,389;48,1;0,7503;0,1852
