	sentiment	handles
266	-0.5106	
267	-0.743	['@realDonaldTrump']
268	0.7906	['@realDonaldTrump']
269	-0.5423	['@realDonaldTrump']
270	-0.4915	['@HillaryClinton', '@TeamUSA']
271	-0.34	['@ChrisCuomo']
272	0.2732	['@foxandfriends', '@FoxNews', '@realDonaldTrump']
273	-0.7579	['@realDonaldTrump']
274	0.0	
275	0.0	
276	0.0	['@realDonaldTrump']
277	0.0	['@ClintonFdn', '@billcliinton', '@HillaryClinton']
278	0.4019	['@CapehartJ', '@realDonaldTrump', '@POTUS']
279	0.6597	['@realDonaldTrump']
280	0.0	['@FoxNews', '@realDonaldTrump']
281	-0.5719	['@realDonaldTrump']
282	0.4404	['@realDonaldTrump']
283	0.0	['@bitteranagram', '@realDonaldTrump']
284	-0.25	['@yelli1972', '@realDonaldTrump']
285	0.6597	['@maggieNYT']
286	0.0	
287	0.4215	['@seanhannity', '@HillaryClinton']
288	0.0	['@piersmorgan', '@realDonaldTrump']
289	0.1027	['@realDonaldTrump']
290	0.34	['@thehill', '@realDonaldTrump']
291	0.4019	
292	-0.2263	['@NewDay', '@realDonaldTrump']
293	0.2023	['@realDonaldTrump']
294	0.0	['@realDonaldTrump']
295	0.0772	['@realDonaldTrump']
296	0.0	
297	0.5267	['@realDonaldTrump']
298	0.5423	['@JonMeecham', '@Morning_Joe']
299	-0.8481	['@realDonaldTrump']
300	0.0	['@realDonaldTrump']
301	0.2732	['@realDonaldTrump']
302	-0.5719	['@BillKristol']
303	-0.0772	
304	0.0	['@realDonaldTrump']
305	-0.2263	['@WillMcAvoyACN', '@realDonaldTrump']
306	0.0	['@realDonaldTrump']
307	0.0772	['@ToddDracula', '@realDonaldTrump', '@vine']
308	-0.2023	['@realDonaldTrump']
309	0.6808	['@wpbf_erin', '@wpbf_stephanie', '@MarkKellyWPBF', '@WPBF_Vanessa', '@HillaryClinton']
310	-0.7269	['@realDonaldTrump']
311	-0.2732	['@BillKristol']
312	-0.5719	['@WSAZnews', '@realDonaldTrump']
313	-0.2732	['@frankthorp', '@realDonaldTrump']
314	0.0	['@realDonaldTrump']
315	-0.5859	['@seanhannity', '@JudgeJeanine', '@MonicaCrowley', '@LisaMarieBoothe']
316	-0.5574	['@realDonaldTrump']
317	0.0	
318	0.0	['@WeThePeopleFor', '@realDonaldTrump']
319	0.2023	['@realDonaldTrump']
320	0.0	['@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes']
321	0.0	
322	-0.0516	['@jimboazil', '@donlemon', '@HillaryClinton', '@realDonaldTrump']
323	-0.5859	['@hughhewitt', '@realDonaldTrump']
324	0.0	['@realDonaldTrump', '@elsolarverde']
325	-0.6124	['@realDonaldTrump']
326	0.3182	['@realDonaldTrump']
327	0.0	
328	0.2732	['@realDonaldTrump', '@elsolarverde']
329	0.3818	['@realDonaldTrump']
330	-0.4767	['@bernardtyers', '@elreiss', '@TheOnion', '@realDonaldTrump']
331	0.0	['@HillaryClinton', '@pagesix']
332	0.0	
333	-0.0516	['@seanhannity', '@HillaryClinton', '@RealBenCarson', '@drdavidsamadi', '@DrMarcSiegel']
334	-0.296	['@realDonaldTrump', '@WeNeedTrump']
335	0.4939	
336	-0.4215	['@realDonaldTrump']
337	0.2732	['@seanhannity', '@MADE__USA', '@realDonaldTrump']
338	-0.0772	['@realDonaldTrump']
339	0.0	['@Loqueespananove', '@HillaryClinton', '@YouTube']
340	-0.25	['@brianstelter', '@realDonaldTrump']
341	0.0	['@TomLlamasABC']
342	0.4588	
343	0.6369	
344	-0.1989	['@realDonaldTrump']
345	0.1511	['@realDonaldTrump']
346	0.7717	
347	-0.296	
348	0.0	
349	0.0	['@realDonaldTrump']
350	0.0	['@azizansari', '@Drake', '@realDonaldTrump', '@MeekMill']
351	-0.8481	['@JeffreyGuterman', '@realDonaldTrump']
352	0.4019	
353	0.0	
354	0.8779	['@realDonaldTrump']
355	0.0	['@realDonaldTrump']
356	0.1027	['@realDonaldTrump', '@HillaryClinton']
357	-0.3412	['@Morning_Joe', '@realDonaldTrump']
358	0.296	['@jimboazil', '@donlemon', '@HillaryClinton', '@realDonaldTrump']
359	0.0	
360	-0.6369	['@JeffreyGuterman', '@realDonaldTrump']
361	0.4215	['@Morning_Joe']
362	0.0	
363	0.2732	['@FoxNews', '@GovMikeHuckabee', '@realDonaldTrump']
364	-0.2263	
365	0.0	['@ItsKayBee', '@BarackObama', '@HillaryClinton']
366	0.0	['@Morning_Joe', '@realDonaldTrump']
367	0.0	
368	0.0	['@ket89', '@realDonaldTrump']
369	-0.2263	['@realDonaldTrump', '@POTUS']
370	0.5106	['@realDonaldTrump', '@SenTomCotton', '@RepMikePompeo', '@Reince']
371	0.3612	['@realDonaldTrump']
372	-0.296	['@realDonaldTrump']
373	-0.296	['@realDonaldTrump']
374	-0.7717	['@proadstudio', '@ConserValidity', '@TeaPainUSA']
375	0.6597	['@JohnJHarwood', '@hughhewitt', '@realDonaldTrump']
376	0.128	['@ClintonFdn', '@dailycaller']
377	0.2732	['@foxandfriends', '@realDonaldTrump']
378	0.0	['@realDonaldTrump', '@benfranklin']
379	-0.0516	['@realDonaldTrump', '@elsolarverde']
380	0.2411	['@JohnJHarwood', '@hughhewitt', '@realDonaldTrump']
381	0.6124	['@Kimmie_marieme', '@HillaryClinton', '@timkaine', '@realDonaldTrump']
382	0.0	
383	-0.6908	['@HillaryClinton']
384	-0.6597	['@realDonaldTrump']
385	0.4939	['@seanhannity', '@OliverNorthFNC']
386	0.3182	
387	0.0	['@politico', '@realDonaldTrump']
388	0.0	
389	-0.3976	['@realDonaldTrump']
390	0.5719	['@tom1234west', '@MagicRoyalty', '@realDonaldTrump']
391	0.0	
392	-0.3818	['@realDonaldTrump']
393	-0.128	
394	-0.5106	
395	-0.3818	['@Morning_Joe', '@realDonaldTrump', '@FiveThirtyEight']
396	0.9231	
397	-0.3182	
398	-0.8591	['@CBSNews', '@SenatorKirk', '@realDonaldTrump']
399	0.3612	
400	0.743	['@LionlawnmanLion', '@realDonaldTrump']
401	0.743	['@JukeWremmari', '@realDonaldTrump']
402	-0.4404	
403	-0.3182	
404	0.743	['@Benzztech', '@MarkDice', '@realDonaldTrump']
405	0.0	['@JohnJHarwood', '@hughhewitt', '@realDonaldTrump']
406	0.6319	['@realDonaldTrump']
407	0.6808	['@theblaze', '@TRUMP', '@HillaryClinton']
408	0.6124	['@TheOtherRosie', '@realDonaldTrump', '@realDonaldTrump']
409	0.4215	['@costareports', '@realDonaldTrump']
410	-0.4019	['@realDonaldTrump']
411	0.743	['@WeNeedTrump', '@realDonaldTrump']
412	0.2732	['@realDonaldTrump']
413	0.0	
414	-0.6808	
415	0.4215	['@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes']
416	0.0	['@realDonaldTrump', '@boomerforbernie']
417	0.4404	['@realDonaldTrump']
418	-0.886	['@realDonaldTrump']
419	-0.765	
420	0.0	['@NBCNews', '@realDonaldTrump']
421	-0.6486	['@realDonaldTrump']
422	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
423	0.3612	['@HillaryClinton']
424	-0.296	['@dorbar', '@HillaryClinton']
425	-0.2263	['@hughhewitt', '@realDonaldTrump']
426	-0.25	['@realDonaldTrump', '@HillaryClinton']
427	0.743	['@thegatekeeper78', '@realDonaldTrump']
428	0.7096	
429	0.4404	['@DanScavino']
430	0.2023	['@realDonaldTrump']
431	0.0	
432	-0.2263	['@realDonaldTrump']
433	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
434	0.8126	['@seanhannity']
435	0.7096	['@ChrisCuomo']
436	-0.3818	['@realDonaldTrump']
437	0.0	
438	0.0258	['@MSNBC', '@realDonaldTrump']
439	0.743	['@TrumpedAmerica', '@realDonaldTrump']
440	0.4019	['@realDonaldTrump']
441	-0.6124	['@realDonaldTrump']
442	0.5574	['@foxandfriends', '@realDonaldTrump']
443	0.743	['@StopKillary2016', '@realDonaldTrump']
444	0.4404	
445	-0.4215	
446	0.0	['@realDonaldTrump']
447	0.0	['@elreiss', '@bernardtyers', '@TheOnion', '@realDonaldTrump']
448	0.743	['@TheOtherRosie', '@ReutersTV', '@realDonaldTrump']
449	0.0	
450	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
451	0.743	['@davidpjohnston2', '@realDonaldTrump']
452	-0.765	['@foxnation', '@RandPaul', '@realDonaldTrump']
453	0.0	['@POTUS']
